AIRCRAFT ORIGIN ARRIVAL DESTINATION DEPARTURE AIRLINE
N900AL HTDA 19:20 KUGN 20:37 ZZZ
DAIRB EDDM 19:22 - - DLH
GEZIZ LIMC 19:24 LIMC 20:05 EZY
EIFIN EGCC 19:27 EGCC 20:25 RYR
ECKHN LEMH 22:52 - - VLG
EIENG LIPE 19:33 LIPE 20:26 RYR
GDBCI EGKK 19:36 EGKK 21:05 BAW
EIFHS ENGM 19:37 - - IBK
GEZIK EGGD 19:39 EGGD 20:25 EZY
ECLGV LEMD 19:45 - - EXU
EIDLC LPPR 19:50 LPPR 20:47 RYR
TFBRO BIKF 19:52 BIKF 21:11 WOW
EIDEE EIDW 19:58 EIDW 21:01 EIN
ECLVA LIRF 19:59 UUDD 21:22 VLG
ERAXP LUKK 20:13 - - MLD
HBION LSZH 20:27 - - SWR
TCICT LEIB 20:31 - - TKJ
YRBGA LROP 20:37 LROP 22:03 ROT
TCJRF LTBA 20:39 - - THY
DCALL LIEE 20:41 - - AHO
ECMIR LIRQ 20:47 - - VLG
PHBXK EHAM 20:48 - - KLM
GEUUG EGLL 20:51 - - BAW
ECMFL LFPO 20:55 LROP 22:28 VLG
FGKXR LFPG 21:06 - - AFR
EIEIB LIRF 21:13 - - AZA
VPBZA UUEE 21:21 - - AFL
ECLZS LIEO 21:30 - - ORO
ECHTD LEIB 21:33 - - VLG
ECHFK LEPA 21:51 - - SWT
CSTTS LPPT 21:57 - - TAP
ECLVB LPPT 22:04 - - VLG
ECMFK LEMH 22:13 - - VLG
VPBRI UUDD 22:17 UUDD 23:29 AUL
ECLSA LPPR 22:24 UUDD 23:31 VLG
SXDVV LGAV 22:26 LGAV 23:33 AEE
YLPSH BIKF 22:42 - - PRW
GEZDJ EGGW 22:50 EGGW 23:18 EZY
ECMFN - - LEBB 03:51 VLG
TCJSO - - LTBA 04:01 THY
EIDTO - - LIRF 04:33 AZA
HBIOF - - LSZH 04:40 SWR
CSTTI - - LPPT 04:53 TAP
CSTRO - - LPPR 05:02 VLG
DAIRM - - EDDF 05:25 DLH
FF111 - - LFMN 6:02 HBF
ECJRE - - LEMD 6:05 IBE
DAIDP - - EDDM 6:06 DLH
DAISV - - EDDF 6:15 DLH
DIMRB - - EDDS 6:38 EFD
ECJLI - - LEMD 6:48 IBE
ECMBD - - LIRF 07:44 VLG
ECLAE - - LGKR 07:49 EXU
ECLVX - - LEAL 08:44 VLG
CSDFK - - LEMH 09:18 NJE
ECDTS - - LEBL 09:39 ICC
ECIRV - - LEBL 10:09 ICC
CSDGW - - LEMD 11:07 VVV
VPBRN - - UUDD 12:08 AUL
GEUUV - - EGKK 12:27 BAW
ECMBL - - LSZH 12:44 VLG
N550GH - - LEPA 13:10 ZZZ
FGTAT - - LFPG 13:32 AFR
FK123 - - LEGE 14:04 FHA
EX321 - - LFMD 15:31 HBV
PTMSO - - SBGR 20:01 TAM
OHLZE - - EFHK 21:02 FIN
A7AEE - - OTHH 21:44 QTR
VPBON - - UUEE 22:32 AFL
